Seq_ID	Assigned_cluster
SNY10321_19	32
SNY10321_22	12
SNY10331_19	7
SNY10331_22	7
SNY10341_19	10
SNY10341_20	2
SNY10341_21	21
SNY10341_22	42
SNY10351_20	1
SNY10351_22	8
SNY10361_19	10
SNY10361_22	1
SNY10371_19	31
SNY10371_20	1
SNY10371_22	57
SNY10381_20	1
SNY10381_22	12
SNY10391_19	72
SNY10391_20	1
SNY10391_22	54
SNY10401_19	3
SNY10401_20	1
SNY10401_22	7
SNY10411_20	1
SNY10411_22	1
SNY10421_22	8
SNY10431_19	1
SNY10431_20	47
SNY10431_22	1
SNY10441_22	5
SNY10451_19	1
SNY10451_22	5
SNY10461_20	1
SNY10461_22	38
SNY10471_19	5
SNY10471_20	1
SNY10471_22	46
SNY10481_22	28
SNY10491_19	1
SNY10491_20	1
SNY10491_22	49
SNY10501_19	7
SNY10501_22	1
SNY10511_20	1
SNY10511_21	21
SNY10511_22	28
SNY10521_19	48
SNY10521_20	13
SNY10521_22	54
SNY10531_19	31
SNY10531_20	13
SNY10531_22	17
SNY10541_19	64
SNY10541_20	13
SNY10541_22	19
SNY10551_20	23
SNY10551_22	5
SNY10561_19	60
SNY10561_20	1
SNY10561_22	17
SNY10571_19	60
SNY10571_22	6
SNY10581_22	13
SNY10591_22	1
